State Legal Services Authority,Financial Year,Applications received directly by Legal Service Institutions (A),"Applications
 / orders marked / directed by any Court
 (B)",Applications received including Court Orders (A+B),Applications Decided,Applications Pending,Compensation Awarded in (Rs.)
Andaman & Nicobar Islands,2016-2017,0,0,0,0,0,0
Andhra Pradesh,2016-2017,22,20,42,28,7,6175000
Arunachal Pradesh,2016-2017,21,5,26,10,1,760000
Assam,2016-2017,33,159,192,90,237,4719030
Bihar,2016-2017,478,94,572,358,21,13290001
Chhattisgarh,2016-2017,243,235,478,389,185,16874000
Dadra & Nagar Haveli,2016-2017,0,3,3,0,0,0
Daman & Diu,2016-2017,0,1,1,1,0,100000
Delhi,2016-2017,558,731,1289,1957,678,455305000
Goa,2016-2017,0,0,0,1,0,2500000
Gujarat,2016-2017,23,17,40,19,19,2120000
Haryana,2016-2017,42,180,222,213,71,52666760
Himachal Pradesh,2016-2017,12,26,38,19,1,830000
Jammu & Kashmir,2016-2017,3,1,4,6,5,600000
Jharkhand,2016-2017,471,545,1016,370,145,15710034
Karnataka,2016-2017,5366,272,5638,635,935,32209760
Kerala,2016-2017,530,160,690,305,22,26864224
Lakshadweep,2016-2017,0,0,0,0,0,0
Madhya Pradesh,2016-2017,528,543,1071,343,189,27637553
Maharashtra,2016-2017,79,63,142,84,98,6616100
Manipur,2016-2017,0,0,0,0,6,0
Meghalaya,2016-2017,197,59,256,26,15,690000
Mizoram,2016-2017,126,2,128,27,12,5545000
Nagaland,2016-2017,18,20,38,24,15,2775000
Odisha,2016-2017,753,257,1010,392,575,18968428
Puducherry,2016-2017,0,6,6,1,0,300000
Punjab,2016-2017,183,126,309,87,168,9024187
Rajasthan,2016-2017,758,508,1266,1379,650,148961500
Sikkim,2016-2017,0,5,5,0,0,2000
Tamil Nadu,2016-2017,3010,57,3067,313,276,20613021
Telengana,2016-2017,18,9,27,13,8,1200000
Tripura,2016-2017,28,19,47,33,34,3350000
U. T. Chandigarh,2016-2017,24,26,50,55,20,3060000
Uttar Pradesh,2016-2017,74,0,74,71,0,12985000
Uttarakhand,2016-2017,26,39,65,37,40,5963000
West Bengal,2016-2017,116,23,139,51,6,4130000
Andaman & Nicobar Islands,2017-2018,3,0,3,1,0,50000
Andhra Pradesh,2017-2018,18,41,59,37,22,8369000
Arunachal Pradesh,2017-2018,74,10,84,20,0,2450000
Assam,2017-2018,80,380,460,279,511,21468800
Bihar,2017-2018,595,85,680,303,26,23252374
Chhattisgarh,2017-2018,546,466,1012,415,412,29404024
Dadra & Nagar Haveli,2017-2018,0,2,2,0,0,550000
Daman & Diu,2017-2018,0,1,1,1,0,400000
Delhi,2017-2018,761,1695,2456,1832,1302,472037967
Goa,2017-2018,0,0,0,0,0,0
Gujarat,2017-2018,176,139,315,147,182,29818680
Haryana,2017-2018,34,228,262,255,81,49406020
Himachal Pradesh,2017-2018,13,24,37,12,7,1200000
Jammu & Kashmir,2017-2018,1,7,8,1,12,25000
Jharkhand,2017-2018,782,243,1025,680,524,37935400
Karnataka,2017-2018,2156,651,2807,1099,1187,71606500
Kerala,2017-2018,56,287,343,145,83,30605000
Lakshadweep,2017-2018,0,0,0,0,0,0
Madhya Pradesh,2017-2018,457,251,708,176,311,17120500
Maharashtra,2017-2018,93,60,153,81,160,7855000
Manipur,2017-2018,0,2,2,1,8,30000
Meghalaya,2017-2018,482,17,499,305,12,3180000
Mizoram,2017-2018,270,11,281,99,46,21395000
Nagaland,2017-2018,0,4,4,15,4,2300000
Odisha,2017-2018,1138,278,1416,694,1085,85835216
Puducherry,2017-2018,2,0,2,1,0,0
Punjab,2017-2018,271,79,350,243,290,25635292
Rajasthan,2017-2018,864,550,1414,1288,746,197349000
Sikkim,2017-2018,0,1,1,0,4,0
Tamil Nadu,2017-2018,682,162,844,211,526,27219000
Telengana,2017-2018,19,13,32,31,9,2700000
Tripura,2017-2018,61,20,81,68,53,3515000
U. T. Chandigarh,2017-2018,7,4,11,28,2,12900000
Uttar Pradesh,2017-2018,219,0,219,219,0,16860000
Uttarakhand,2017-2018,18,27,45,54,15,6870000
West Bengal,2017-2018,110,129,239,120,17,25275000
Andaman & Nicobar Islands,2018-2019,0,0,0,0,0,0
Andhra Pradesh,2018-2019,95,33,128,46,75,12374136
Arunachal Pradesh,2018-2019,47,2,49,38,2,7820000
Assam,2018-2019,139,423,562,371,547,44770402
Bihar,2018-2019,578,243,821,470,18,93785000
Chhattisgarh,2018-2019,384,436,820,587,446,38498000
Dadra & Nagar Haveli,2018-2019,0,6,6,4,1,650000
Daman & Diu,2018-2019,0,0,0,0,0,0
Delhi,2018-2019,916,1698,2614,2284,1372,521929000
Goa,2018-2019,0,4,4,0,4,0
Gujarat,2018-2019,230,189,419,394,181,73409000
